2023-04-30 20:14:41 *	Now talking on #kerthchat
2023-04-30 21:57:07 <Doranwen>	It's too small to show the amount of detail necessary to identify.  I'd recommend sticking with the text-based emoticons.
2023-04-30 21:57:55 <AnnaBtG>	@Meadowlark: sounds like something we'd be interested in hearing nevertheless 
2023-04-30 21:58:01 <Meadowlark>	If you don't already know this, we lost ChrisPat in December of 2022.
2023-04-30 21:58:18 <Meadowlark>	This was posted on the older MBs.
2023-04-30 21:58:30 *	SB (Mibbit@cloak-BE5DFB2A.socal.res.rr.com) has joined
2023-04-30 21:59:21 *	SB has quit (Quit: SB)
2023-04-30 21:59:22 <AnnaBtG>	I didn't know! So sorry to hear it :(
2023-04-30 22:00:24 *	Demi2 has quit (Quit: https://mibbit.com Online IRC Client)
2023-04-30 22:01:01 <KSaraSara>	Oh no! I remember I actually got to meet her in... 2002, the only LAFF I went to
2023-04-30 22:01:20 <AnnieM>	Oh, I remember ChrisPat. That's too bad. Thanks for letting us know.
2023-04-30 22:01:20 *	Blueowl (Mibbit@496E62E.29FD92D1.E449F2C6.IP) has joined
2023-04-30 22:01:22 *	Songbird2 (Mibbit@cloak-BE5DFB2A.socal.res.rr.com) has joined
2023-04-30 22:02:44 <Meadowlark>	Think the news was posted by Widget aka Lori Lane
2023-04-30 22:02:48 <Doranwen>	It looks like the only nick that's in #kerthawards but not here is Demi.
2023-04-30 22:03:57 <Darth_Michael>	IMPORTANT SERVICE ANNOUNCEMENT: Please don't drink while I do my presentations. I will not be once again held accountable for coffeedamaged phones and laptops.
2023-04-30 22:04:08 <Doranwen>	ROFL
2023-04-30 22:04:09 <KSaraSara>	HAHA!!
2023-04-30 22:04:29 <Songbird2>	LOL
2023-04-30 22:04:44 <Bek>	LOL!
2023-04-30 22:04:57 <KSaraSara>	@Meadowlark--thanks for letting us know. Sorry to hear the news. :(
2023-04-30 22:04:57 <Doranwen>	<g>  Duly noted.
2023-04-30 22:05:26 <Meadowlark>	Guess things have changed.  Drinking used to be a major activity during the Kerths.  
2023-04-30 22:05:57 <KSaraSara>	Oh, we'll still drink... just... beware you may do a spittake while Michael is presenting lol
2023-04-30 22:05:57 *	Blueowl has quit (Quit: Blueowl)
2023-04-30 22:06:05 <Doranwen>	I only drink water, but water damage is not a great thing either, lol.
2023-04-30 22:06:19 <KathyB>	Alright, here we go!
2023-04-30 22:06:22 *	Blueowl (Mibbit@496E62E.29FD92D1.E449F2C6.IP) has joined
2023-04-30 22:06:36 <KathyB>	If you're not in #kerthawards, this is the time to join )
2023-04-30 22:06:58 <Darth_Michael>	Thanks @Meadowlark. We actually have an In Memoriam page on the Archive: http://www.lcfanfic.com/memoriam.html If you mail Lauren via the official mail, I'm sure she'll add a note :/
2023-04-30 22:07:08 <Doranwen>	Everyone here is in #kerthawards, though the converse isn't true.
2023-04-30 22:07:47 *	bakasi (Mibbit@cloak-6EBA0717.dip0.t-ipconnect.de) has joined
2023-04-30 22:07:49 <AnnaBtG>	Maybe someone could private message those who aren't?
2023-04-30 22:08:02 <AnnaBtG>	Though maybe they just don't want to get overwhelmed 
2023-04-30 22:08:28 *	Blueowl_ (Mibbit@496E62E.29FD92D1.E449F2C6.IP) has joined
2023-04-30 22:09:43 *	Doranwen applauds all past and present committee members
2023-04-30 22:09:49 <AnnaBtG>	Thank you everyone!!!
2023-04-30 22:09:54 *	KSaraSara claps
2023-04-30 22:09:58 *	Toomi (Mibbit@cloak-71D871AA.cg.shawcable.net) has joined
2023-04-30 22:10:08 <AnnieM>	I still can't believe this is our 25th anniversary! 
2023-04-30 22:10:10 <Blueowl_>	^_^
2023-04-30 22:10:21 <KSaraSara>	Right? I love this fandom so much!
2023-04-30 22:10:25 *	Meadowlark Applauds KathyB's intro!
2023-04-30 22:10:29 <Songbird2>	Thank you everyone! 25 years is amazing!
2023-04-30 22:10:37 <KSaraSara>	LOL OMG Kathy...
2023-04-30 22:10:56 <AnnieM>	LOL. No more Kerth babies!
2023-04-30 22:11:01 <KSaraSara>	Hahaha 
2023-04-30 22:11:04 <Bek>	Oh my...!
2023-04-30 22:11:16 <AnnaBtG>	Not for Kathy, at least ;)
2023-04-30 22:11:27 <Doranwen>	Lol, I'd almost forgotten about that one…
2023-04-30 22:11:30 *	Blueowl has quit (Quit: https://mibbit.com Online IRC Client)
2023-04-30 22:11:34 *	KSaraSara giggles
2023-04-30 22:12:09 <Blueowl_>	Certainly memorable I imagine.
2023-04-30 22:12:26 *	Voice_Jockey gives channel operator status to AnnieM
2023-04-30 22:13:07 <Doranwen>	Well, by the time I was around it was just an in-joke I learned about.
2023-04-30 22:13:12 <Doranwen>	I think I wasn't there for the actual experience.
2023-04-30 22:13:13 <KSaraSara>	I think Erin... or was it Pam had one too??
2023-04-30 22:13:34 <Toomi>	Was there something about the Kerth's that induced labour?
2023-04-30 22:13:37 *	Demi2 (Mibbit@cloak-6C230D3E.dynamic.kabel-deutschland.de) has joined
2023-04-30 22:13:48 <Doranwen>	Rofl
2023-04-30 22:13:49 <Bek>	LOL
2023-04-30 22:13:53 <KathyB>	LOL!
2023-04-30 22:13:57 <Songbird2>	LOL!
2023-04-30 22:13:59 <KSaraSara>	@Toomi, that was the joke considering the coincidences lol
2023-04-30 22:14:14 <KSaraSara>	LOL @Annie!
2023-04-30 22:14:18 <KathyB>	Yes, all three of us on the committee had multiple babies all in March/April, right during Kerth season
2023-04-30 22:14:22 <KathyB>	It was WILD!
2023-04-30 22:14:34 <Blueowl_>	Something in the fics?
2023-04-30 22:14:39 <KSaraSara>	Hahaha!
2023-04-30 22:15:19 <Meadowlark>	Nah.  Something in the nfics  ;-)
2023-04-30 22:15:26 <Doranwen>	Lol
2023-04-30 22:15:27 <KathyB>	LOL!
2023-04-30 22:15:31 <KSaraSara>	LOL!
2023-04-30 22:16:04 <bakasi>	Maybe we should check which were posted nine months prior. They're bound to be good
2023-04-30 22:16:14 <KSaraSara>	Haha!
2023-04-30 22:16:29 <KSaraSara>	CONGRATS, Val!! 
2023-04-30 22:16:30 <Darth_Michael>	Congratulations, Val!
2023-04-30 22:16:33 <KathyB>	Yay, congratulations!
2023-04-30 22:16:38 <Bek>	Congrats!
2023-04-30 22:16:40 <Doranwen>	Are they in here?
2023-04-30 22:16:40 <KathyB>	Such a great story!
2023-04-30 22:16:42 <AnnaBtG>	Congratulations Val! Too bad she's not here
2023-04-30 22:16:45 <Blueowl_>	Congrats!
2023-04-30 22:16:46 <Demi2>	Congrats Val
2023-04-30 22:16:47 <KathyB>	I do'nt believe so
2023-04-30 22:16:57 <Songbird2>	Congrats Val!
2023-04-30 22:17:00 <Doranwen>	OK, good, if someone has a wildly different nick you'll have to let me know, I'll be like who???? lol
2023-04-30 22:17:00 <KSaraSara>	But she can read the transcript! So congratulate away!
2023-04-30 22:17:16 <CRene>	Congrats, Val.
2023-04-30 22:17:45 <AnnieM>	Congrats, Val!
2023-04-30 22:17:45 <Doranwen>	Also, whoops, sorry AnnaBtG, I'm getting ahead of myself.  Got distracted and forgot where we were. <sg>
2023-04-30 22:18:14 *	Demi (Mibbit@cloak-6C230D3E.dynamic.kabel-deutschland.de) has joined
2023-04-30 22:18:23 <bakasi>	Congrats, Val
2023-04-30 22:18:33 <Doranwen>	25 years is a long time in fandom…
2023-04-30 22:18:41 <KSaraSara>	Totally! 
2023-04-30 22:18:50 <Doranwen>	There are fandoms that have completely imploded after far less time than that.
2023-04-30 22:19:13 <KSaraSara>	Haha... oh... I remember printing reams worth of fic...
2023-04-30 22:19:27 <Bek>	Ack, me too!
2023-04-30 22:19:30 <Doranwen>	I printed fic too!  Mostly LOTR, but some for Misty and Tamora Pierce, I recall.
2023-04-30 22:19:31 <KathyB>	Oh gosh yes! 
2023-04-30 22:19:31 <AnnieM>	saaaame!
2023-04-30 22:19:34 <KathyB>	So much paper!!
2023-04-30 22:19:40 <KathyB>	so I could take it with me on the road
2023-04-30 22:19:41 <KSaraSara>	Hahah I think I still have some!
2023-04-30 22:19:41 *	Doranwen still has her fic binders stashed on a shelf somewhere.
2023-04-30 22:19:59 <Doranwen>	One of the ones up to my right somewhere.
2023-04-30 22:20:05 *	KSaraSara throws more Clarkie bears...
2023-04-30 22:20:10 <AnnieM>	There was a brief period where I had no internet in my apartment, and I used to go to the library computer lab at my university and print of stacks of fic to read every night
2023-04-30 22:20:21 <KathyB>	omg I love that
2023-04-30 22:20:31 <Bek>	LOL
2023-04-30 22:20:40 <KathyB>	poor university printer paper supplier. They had no idea why it kept disappearing overnight 
2023-04-30 22:20:43 <KSaraSara>	LOL
2023-04-30 22:20:45 <AnnieM>	The day I finally got my internet hooked up in my apartment, I think I stayed up all night binge reading
2023-04-30 22:20:56 <Toomi>	I was in junior high when this show was on. We had to write a short story placing us as the main character and one girl in my English class wrote about Superman saving her and then had to read it in class.
2023-04-30 22:21:00 <AnnaBtG>	@KathyB: lol!
2023-04-30 22:21:04 <KSaraSara>	Good boy, Houdini!
2023-04-30 22:21:07 <CRene>	Once I printed up a series of stories I wrote and sent them to a friend for Christmas.  
2023-04-30 22:21:09 <KathyB>	LOL, love that Houdini! Glad he made it ;) 
2023-04-30 22:21:27 <KSaraSara>	HAHA nice segue to Claude! LOL
2023-04-30 22:21:28 <Doranwen>	Lol
2023-04-30 22:21:38 *	Doranwen snickers at the labor jokes
2023-04-30 22:21:42 <KathyB>	LOL
2023-04-30 22:21:45 <KSaraSara>	LOL!
2023-04-30 22:22:28 <KSaraSara>	Awww lovely segues! And lol
2023-04-30 22:22:31 <Doranwen>	Hehe
2023-04-30 22:22:47 <KathyB>	LOL, at least our Lana is nice, right Annie?
2023-04-30 22:22:56 <KathyB>	Not like that OTHER Lana ;) 
2023-04-30 22:23:05 *	Doranwen snerks
2023-04-30 22:23:17 <KSaraSara>	OMG Bek and I almost ... hate how much you made us love Lana! lol
2023-04-30 22:23:21 <Bek>	The ONLY Lana I've ever liked....
2023-04-30 22:23:30 <KathyB>	LOL Sara
2023-04-30 22:23:36 <bakasi>	Houdini quite enjoys the treat. Thanks
2023-04-30 22:23:57 <KathyB>	oh wow1
2023-04-30 22:23:58 <KSaraSara>	YAY!!!!
2023-04-30 22:23:59 <KathyB>	!!
2023-04-30 22:24:08 <KSaraSara>	Congrats, you two!!!
2023-04-30 22:24:10 <Bek>	Congrats!!
2023-04-30 22:24:12 *	Doranwen applauds after giggling at the envelope delay
2023-04-30 22:24:12 <bakasi>	Congrats!
2023-04-30 22:24:20 <Blueowl_>	Congrats :)
2023-04-30 22:24:27 <AnnaBtG>	Congratulations Annie and Kathy!!!
2023-04-30 22:24:40 <Songbird2>	Yay! Congrats Annie and Kathy!
2023-04-30 22:24:47 <CRene>	Congratulations, ladies.
2023-04-30 22:25:03 <Meadowlark>	That is a great version of Lana.
2023-04-30 22:25:28 <Songbird2>	I love this version of Lana!
2023-04-30 22:25:31 <KSaraSara>	Totally! This Lana is so amazing!
2023-04-30 22:25:43 <bakasi>	Better than the show's Lana, that's for sure
2023-04-30 22:26:06 <Demi2>	Congrats
2023-04-30 22:26:34 *	Songbird2 has quit (Quit: https://mibbit.com Online IRC Client)
2023-04-30 22:26:47 <Darth_Michael>	LOL
2023-04-30 22:27:03 <KathyB>	cough Tea Totaled cough
2023-04-30 22:27:05 <KathyB>	;)
2023-04-30 22:27:13 <Doranwen>	Lol
2023-04-30 22:28:02 *	KSaraSara has quit (Quit: Leaving)
2023-04-30 22:28:39 <Doranwen>	AnnaBtG:  You should be good to speak. :)
2023-04-30 22:28:55 <altSara>	Oh good grief… that was NOT the x to hit…
2023-04-30 22:29:04 <Bek>	Yikes!
2023-04-30 22:29:06 <AnnieM>	hahaha whoops
2023-04-30 22:29:07 <Doranwen>	Lol, I did wonder what happened…
2023-04-30 22:29:25 <KathyB>	LOL
2023-04-30 22:29:31 <KathyB>	hopefully we haven't lost Anna in the same way?
2023-04-30 22:29:44 <KathyB>	oh good! There she is!
2023-04-30 22:29:44 <Doranwen>	Ah, Google docs, gotta love them...
2023-04-30 22:29:52 *	KSaraSara (~sara@cloak-D8945C1D.hsd1.nm.comcast.net) has joined
2023-04-30 22:30:04 *	Voice_Jockey gives channel operator status to KSaraSara
2023-04-30 22:30:17 <KSaraSara>	oy... lol
2023-04-30 22:30:21 <Doranwen>	LOL
2023-04-30 22:30:25 <Bek>	LOL
2023-04-30 22:30:53 *	Songbird2 (Mibbit@cloak-BE5DFB2A.socal.res.rr.com) has joined
2023-04-30 22:30:55 <Doranwen>	LOL, I'm betting that wasn't the combo you wanted to hit either.
2023-04-30 22:31:08 <Doranwen>	The joys of better living through technology.
2023-04-30 22:31:50 <Meadowlark>	It wouldn't be a Kerths without technical difficulties.
2023-04-30 22:31:54 <Doranwen>	Precisely!
2023-04-30 22:32:02 <KathyB>	LOL very true!
2023-04-30 22:32:05 <KSaraSara>	Haha nope, especially since it's been decades for all of us!
2023-04-30 22:32:13 <KathyB>	LOL Anna
2023-04-30 22:32:34 <KSaraSara>	Lol, nice save ;)
2023-04-30 22:32:53 <KathyB>	yes, as if the nerves of doing a LIVE ceremony aren't enough, we have to deal with our IRC nostalgia 
2023-04-30 22:32:56 <AnnieM>	very smooth ;)
2023-04-30 22:33:02 <KSaraSara>	haha
2023-04-30 22:33:10 *	Darth_Michael must make sure to experience technical difficulties. Otherwise, I seem old...
2023-04-30 22:33:13 <AnnieM>	Ah yes, this is the IRC I remember. Glitchy and confusing ;)
2023-04-30 22:33:32 <KSaraSara>	@Michael... nah... you're the tech guy ;)
2023-04-30 22:33:38 <KSaraSara>	Lol Annie!
2023-04-30 22:33:39 <KathyB>	LOL! They do tend to kiss ... a lot ... hahhaha
2023-04-30 22:33:41 <Darth_Michael>	There's entire fics written about them kissing
2023-04-30 22:33:42 <AnnieM>	Do they ever!
2023-04-30 22:33:43 <Darth_Michael>	just kissing
2023-04-30 22:33:50 <KSaraSara>	Omg writing kissing is SOOOO HARD!
2023-04-30 22:34:02 <AnnieM>	SO MANY BODY PARTS
2023-04-30 22:34:07 <Doranwen>	Eh, it wasn't too hard in my one fic - but it was a lot of quick kisses, and the focus was on the different languages.  I don't write long in-depth kisses, period.
2023-04-30 22:34:09 <KSaraSara>	LOL! Yes!
2023-04-30 22:34:10 <KathyB>	So MANY!!!
2023-04-30 22:34:12 <Blueowl_>	:* ;*
2023-04-30 22:34:14 *	Darth_Michael eyes nKerths
2023-04-30 22:34:23 <AnnieM>	So much cringing
2023-04-30 22:34:23 <KathyB>	And then trying to keep it PG, ahem 
2023-04-30 22:34:24 <KSaraSara>	Hahaha Michael
2023-04-30 22:34:42 *	KSaraSara digs around for the fire emoji...
2023-04-30 22:34:42 <Doranwen>	I can't imagine how hard it would be for anyone who does.
2023-04-30 22:34:54 <AnnieM>	So much me messaging Kathy being like "This is so awkward, the readers will think I've never actually kissed anyone!"
2023-04-30 22:35:05 <KSaraSara>	^ yup
2023-04-30 22:35:28 <Darth_Michael>	just have Lois kiss Claude. that way, any cringe is due to the subject matter, not the presentaiton!
2023-04-30 22:35:34 <Doranwen>	LOL
2023-04-30 22:35:36 <Bek>	Ewwww
2023-04-30 22:35:40 <KathyB>	LOL
2023-04-30 22:35:49 <AnnieM>	noooooooo
2023-04-30 22:35:51 <Blueowl_>	Writing romance is already hard for me, so kissing scenes.... I'm always so impressed when I read fics with great romance
2023-04-30 22:36:01 <KSaraSara>	Noooooo boooo Claude
2023-04-30 22:36:25 <AnnieM>	I love how many of these literally have Kiss in the title ;)
2023-04-30 22:36:35 <KSaraSara>	haha
2023-04-30 22:36:54 <bakasi>	Also, if you have many kisses, you can't use the same words all the time
2023-04-30 22:36:59 <AnnieM>	YES
2023-04-30 22:37:11 <Bek>	That's the real problem!
2023-04-30 22:37:16 <AnnieM>	it's hard enough writing ONE kiss, let alone a story full of kisses that can't all be cut/paste
2023-04-30 22:37:18 <Blueowl_>	yeah, very repetitive
2023-04-30 22:37:47 <KathyB>	oh wow!!!
2023-04-30 22:37:52 <Darth_Michael>	Congratulations you guys!
2023-04-30 22:37:54 <KSaraSara>	Yay!!! SOOOOO many kisses in that one! lol
2023-04-30 22:37:57 <KSaraSara>	Congrats!!!!
2023-04-30 22:37:58 <Bek>	Congrats!
2023-04-30 22:38:11 <Blueowl_>	Congrats!
2023-04-30 22:38:12 <KSaraSara>	All that pining makes for good kissing later!!
2023-04-30 22:38:14 *	bakasi applauds the winners
2023-04-30 22:38:23 <Songbird2>	Congrats Annie & Kathy!!
2023-04-30 22:38:46 <Demi2>	Congrats
2023-04-30 22:39:05 <Meadowlark>	Congrats!  Am I the only one wondering which kiss won in this story?  Maybe it was all of them?
2023-04-30 22:39:18 *	Doranwen applauds the winners
2023-04-30 22:39:43 <KathyB>	LOL I was already planning to reread the story this week, and now I'm going to be paying extra attention to the kisses. Not that I can fully rmember which ones I wrote and which ones Annie did, haha
2023-04-30 22:39:50 <Doranwen>	Lol
2023-04-30 22:39:52 <KSaraSara>	ALL the kisses, I'm sure! LOL
2023-04-30 22:40:10 <KSaraSara>	Speech!! ;)
2023-04-30 22:40:17 <bakasi>	Yeah, the whole story was so great, it'd be hard to choose
2023-04-30 22:40:24 <Blueowl_>	😙
2023-04-30 22:40:47 <KSaraSara>	Gahhh! Yes, the chemistry is... off the charts!
2023-04-30 22:41:41 <AnnaBtG>	Thanks for your patience, guys! And congrats Annie and Kathy!!
2023-04-30 22:41:51 <Darth_Michael>	LOL
2023-04-30 22:41:57 <Doranwen>	Lol
2023-04-30 22:41:57 <Darth_Michael>	not so fast, missy!
2023-04-30 22:42:04 <KSaraSara>	LOL!
2023-04-30 22:42:20 *	Darth_Michael applauds
2023-04-30 22:42:21 <AnnaBtG>	Believe me, writing a speech about the best kiss was about as hard as writing a kiss, lol xD
2023-04-30 22:42:28 <Doranwen>	Haha
2023-04-30 22:42:30 <KathyB>	Great speech Anna!
2023-04-30 22:42:35 *	Meadowlark has quit (Quit: https://mibbit.com Online IRC Client)
2023-04-30 22:42:42 *	Meadowlark (Mibbit@cloak-C85C35F7.mobile.att.net) has joined
2023-04-30 22:42:51 *	Doranwen laughs
2023-04-30 22:42:58 <KSaraSara>	Good job, Anna!!
2023-04-30 22:43:09 <AnnaBtG>	Thank you!
2023-04-30 22:43:33 <Darth_Michael>	you can read them as bedtime story for the little ones and grow the next gen of FoLC!
2023-04-30 22:44:19 <AnnaBtG>	Short stories are the best! Much love!
2023-04-30 22:44:56 <KathyB>	Congratulations, Bek!!
2023-04-30 22:45:01 <Blueowl_>	Congrats Bek!
2023-04-30 22:45:03 <Songbird2>	Congrats Bek!!!
2023-04-30 22:45:03 <Darth_Michael>	Congratulations, Bek
2023-04-30 22:45:09 <CRene>	Congrats, Bek
2023-04-30 22:45:16 <AnnieM>	Congratulations, Bek! I loved this story
2023-04-30 22:45:17 <KSaraSara>	CONGRATS, BEK!!! WOOO!
2023-04-30 22:45:20 <bakasi>	Congratulations @Bek
2023-04-30 22:45:26 <AnnaBtG>	Congrats Bek!! Such a great story!!
2023-04-30 22:45:27 <Doranwen>	Congrats!
2023-04-30 22:45:41 <KSaraSara>	SUCH a good revelation too and who can resist a snooping Lois? LOL
2023-04-30 22:46:01 <Blueowl_>	No one.
2023-04-30 22:46:24 <AnnieM>	yes! I love a good snoop
2023-04-30 22:46:28 <Demi2>	Congrats
2023-04-30 22:47:34 <Toomi>	*Catching up on the scroll* Woohoo! Congrats!
2023-04-30 22:47:48 <Bek>	Eep! Thank you all!
2023-04-30 22:49:31 <Darth_Michael>	live speech 
2023-04-30 22:49:33 <Darth_Michael>	live speech!
2023-04-30 22:49:39 <KSaraSara>	Whew...
2023-04-30 22:50:06 <AnnaBtG>	Yay Jerseygrl!!
2023-04-30 22:50:19 <Doranwen>	Oh, it's the special apostrophe that's doing the weird chars for me.  Anyone else seeing it oddly too?
2023-04-30 22:50:43 <bakasi>	Me too
2023-04-30 22:50:43 <AnnaBtG>	No?
2023-04-30 22:50:50 <AnnaBtG>	But I'm on an app
2023-04-30 22:50:55 <Darth_Michael>	yep, it's broken, even in the log
2023-04-30 22:51:00 <Doranwen>	The curly apostrophe and quote marks don't show up right on my IRC, either.
2023-04-30 22:51:01 <Darth_Michael>	need to fix that later on
2023-04-30 22:51:03 <Demi2>	Me too
2023-04-30 22:51:20 <AnnieM>	yeah, it's broken for me too. Weird. That seems like a pretty basic symbol that should translate
2023-04-30 22:51:24 <Doranwen>	Guess that's a warning to all presenters - make sure whatever you're typing it in doesn't autoformat them.  We didn't test that…  Oops.
2023-04-30 22:51:43 <Doranwen>	It's a specialty character, it's not the default one.  IRC has a more limited symbol set I think?  Not sure.
2023-04-30 22:52:11 <AnnaBtG>	I wonder if that repeated pasting is Tempus messing with the timeline...
2023-04-30 22:52:22 <Doranwen>	It does seem a likely explanation…
2023-04-30 22:52:34 <KathyB>	LOL
2023-04-30 22:52:53 <KathyB>	Luckily ,we can fix it in the transcript!
2023-04-30 22:53:05 <KSaraSara>	... it's me... I mean.. yes...Tempus
2023-04-30 22:53:13 <Doranwen>	Rofl
2023-04-30 22:53:18 <bakasi>	Or there's a cat pounding on the laptop?
2023-04-30 22:53:34 <bakasi>	In case I fail, I will claim Houdini is responsible
2023-04-30 22:53:44 *	Darth_Michael eyes script
2023-04-30 22:54:01 <Darth_Michael>	no, Cat is not pounding on the laptop. she's boffing on the copier
2023-04-30 22:54:21 <Songbird2>	My cat disconnected me from the chat earlier. He's so helpful. 
2023-04-30 22:54:29 <Doranwen>	Yeah, even the triple dot ellipsis doesn't show up right.  With IRC it's definitely best to avoid those specialty punctuation characters, I guess!  Now we know.
2023-04-30 22:54:31 <Doranwen>	LOL bad kitty
2023-04-30 22:54:48 <Songbird2>	Yes! 
2023-04-30 22:55:17 <KSaraSara>	Yeah.... New interface for me... lol
2023-04-30 22:55:23 <KSaraSara>	I didn't practice *hides* lol
2023-04-30 22:55:47 <Bek>	Jerseygrl also writes a bunch of Superman and Lois fic too, on AO3 if anyone is interested!
2023-04-30 22:56:02 <Darth_Michael>	actually a bunch of characters does work: “…”
2023-04-30 22:56:11 <Doranwen>	Yeah, that's the funny thing, I've typed them before.
2023-04-30 22:56:14 <KathyB>	That wasn't your fault, Sara ... none of us realized the smart quotes wouldn't paste right. 
2023-04-30 22:56:18 <Doranwen>	So I wonder what happened with the pasting there?
2023-04-30 22:56:31 <KSaraSara>	Oh, the pasting was totally my fault
2023-04-30 22:56:34 <AnnieM>	I wonder if it's a specific font that is the problem
2023-04-30 22:56:42 <Doranwen>	AnnieM: That's what I was thinking.
2023-04-30 22:56:51 <Darth_Michael>	that's what Labby's pins are for
2023-04-30 22:56:53 <KSaraSara>	The extra hard return at the end made it seem like my pasted hadn't made it to the text box... so... yep. 
2023-04-30 22:57:23 <AnnieM>	SO many good challenge response stories this year! So many awesome challenges
2023-04-30 22:57:23 <Doranwen>	Might be just that one font.  Either way, it isn't too hard to avoid now that we know it can behave problematically.
2023-04-30 22:57:32 <Doranwen>	We just didn't know before this.
2023-04-30 22:57:45 <KSaraSara>	I love that basaki wrote this for me and I'd been writing a rewrite of the same scene! LOL
2023-04-30 22:57:53 <KathyB>	LOL
2023-04-30 22:59:02 <AnnieM>	I can't even remember who I voted for in this category. I love them all.
2023-04-30 22:59:20 <Bek>	All of these stories are amazing!
2023-04-30 22:59:31 <KSaraSara>	Yes, they are!!
2023-04-30 22:59:44 <Songbird2>	Yes, they are!
2023-04-30 22:59:56 <bakasi>	I thought you deserved a nice story after reading my other WIP ;=
2023-04-30 23:00:08 <KSaraSara>	Haha yes, so much angst there!!
2023-04-30 23:00:24 <Blueowl_>	!!!
2023-04-30 23:00:26 <Bek>	Congrats!!
2023-04-30 23:00:29 <KathyB>	Congratulations!! I loved this story! So clever!
2023-04-30 23:00:33 <KSaraSara>	Woooo!!! Congrats, Jess!!!
2023-04-30 23:00:36 <bakasi>	Congrats Bluowl
2023-04-30 23:00:42 <Toomi>	Yay! Congrats.
2023-04-30 23:00:49 <Doranwen>	Congrats!
2023-04-30 23:00:49 <KSaraSara>	I love the peek into the world through eyes of strangers! 
2023-04-30 23:00:52 <AnnieM>	Congrats, Jess!
2023-04-30 23:00:57 <Songbird2>	Congrats, Blueowl!
2023-04-30 23:00:57 <KSaraSara>	So creative!!
2023-04-30 23:01:23 <Blueowl_>	Thanks ^_^
2023-04-30 23:01:40 <Meadowlark>	Truely a unique and fun story!  Even after 30 years.
2023-04-30 23:01:46 <Demi2>	Congratulations 
2023-04-30 23:02:03 <AnnieM>	yes, I love that we are still getting truly unique ideas after all this time!
2023-04-30 23:02:10 <KSaraSara>	Yes, I love that we ... jinx to Annie lol
2023-04-30 23:02:11 <AnnaBtG>	Congrats Jess!! I was so intrigued by this story!!
2023-04-30 23:02:28 <Darth_Michael>	Congrats, BLueowl!
2023-04-30 23:02:36 <KSaraSara>	Glad Sara's sock could show up! lol
2023-04-30 23:02:49 <Doranwen>	Lol
2023-04-30 23:03:10 <KathyB>	Now I'm wondering what color the sock is ... is it blue? is it red? It is argyle???
2023-04-30 23:03:16 <Doranwen>	Rofl
2023-04-30 23:03:21 <Bek>	LOL
2023-04-30 23:03:34 <KathyB>	Oh wait, silly me ... it's blue AND red, with a superman crest on the ankle!
2023-04-30 23:03:36 <KSaraSara>	LOL 
2023-04-30 23:03:39 <Blueowl_>	Is it a knitted sock?
2023-04-30 23:03:40 <AnnaBtG>	It's blue with an S, obviously!
2023-04-30 23:03:42 <AnnieM>	I love how Sara managed to make her speech about Canada/Hockey. 
2023-04-30 23:03:47 <AnnieM>	In true Sara fashion ;)
