2023-04-30 20:14:41 *	Now talking on #kerthawards
2023-04-30 22:09:58 *	Toomi (Mibbit@cloak-71D871AA.cg.shawcable.net) has joined
2023-04-30 22:10:20 *	lovetvfan_sock (Mibbit@cloak-86AFE57.cable.dynamic.surfer.at) has joined
2023-04-30 22:10:20 <KathyB>	And in honor of this momentous occasion, let me just say …
2023-04-30 22:10:30 <KathyB>	CONTRACTION!!!
2023-04-30 22:10:48 <KathyB>	No, no, not this year! Fortunately my Kerth baby is all grown up – 22 years old this year! – and my concerns about going into labor will never disrupt another Kerth Awards. 😄
2023-04-30 22:10:49 *	KSaraSara eyes Kathy warily...
2023-04-30 22:11:13 <KathyB>	(Now watch, years from now, one of my kids will be having a kid, and they will go into labor on Kerth day. Ha!)
2023-04-30 22:11:30 *	Blueowl has quit (Quit: https://mibbit.com Online IRC Client)
2023-04-30 22:11:46 <KathyB>	So without further adieu, on with the show!
2023-04-30 22:11:53 <KathyB>	Today we’ll be presenting Kerth awards in 16 categories. We will present 8 awards, then take a 15 minute intermission, before returning to present the remaining 8 awards.
2023-04-30 22:12:04 <KathyB>	Hopefully you are all seeing this in #kerthawards, but only presenters will be able to speak here. All discussion will take place in #kerthchat, so if you haven’t already joined that channel, please do so now! It’s always a ton of fun to celebrate with your fellow FoLCs.  
2023-04-30 22:12:06 <KathyB>	:)
2023-04-30 22:12:21 <KathyB>	A special thank you to Doranwen, who will be our voice jockey for the ceremony. She will be muting and unmuting those who are “at the podium”, so presenters and award winners, please make sure you are unmuted before you start talking. 
2023-04-30 22:12:38 *	Voice_Jockey gives channel operator status to AnnieM
2023-04-30 22:12:46 <KathyB>	Also, presenters, please check for a private message from DarthMichael during your speech, as he will be passing you the envelope with the winner’s name!
2023-04-30 22:13:07 <KathyB>	And now, to present our first category, Best Super-Short Story, is the wonderful AnnieM. Come on up, Annie!
2023-04-30 22:13:19 <AnnieM>	Thank you, Kathy!
2023-04-30 22:13:36 <AnnieM>	As an author known for her brevity, I was the obvious choice to present the Super-Short Story category
2023-04-30 22:13:46 <AnnieM>	What's that? I can't hear over all the laughter....
2023-04-30 22:14:14 <AnnieM>	Ok, seriously, as someone whose writing is anything but concise, I'm constantly amazed by how these authors can convey so much in these tiny bite-sized stories
2023-04-30 22:14:55 <AnnieM>	These stories are only 1-10kb, they still manage to make us laugh, cry and awwwww
2023-04-30 22:15:03 <AnnieM>	This year's nominees for the Super-Short category are...
2023-04-30 22:15:18 <AnnieM>	Astrologically Challenged by Anna B the Greek 
2023-04-30 22:15:24 <AnnieM>	A Family Tradition by lovetvfan 
2023-04-30 22:15:31 <AnnieM>	Inside a Deranged Mind by bakasi
2023-04-30 22:15:37 <AnnieM>	The Necklace by Folc4evernaday 
2023-04-30 22:15:43 <AnnieM>	Playing Pretend by KSaraSara
2023-04-30 22:15:54 <AnnieM>	And the winner is.....
2023-04-30 22:16:08 <AnnieM>	The Necklace by Folc4evernaday
2023-04-30 22:16:30 *	Voice_Jockey gives voice to AnnaBtG
2023-04-30 22:17:04 <KathyB>	Congratulations Val!
2023-04-30 22:17:39 <KathyB>	And now, to present the award for Best Original or Supporting Character, I give you our newest KComm Technical Coordinator, DarthMichael! 
2023-04-30 22:18:07 *	Darth_Michael enters from the left and jogs up to the podium.
2023-04-30 22:18:13 <Darth_Michael>	Thank you, Kathy, thank you!
2023-04-30 22:18:18 <Darth_Michael>	It’s a pleasure to be back up here after…umm…yeah, let’s just say, it’s a pleasure to be back here now.
2023-04-30 22:18:25 <Darth_Michael>	25 years of awards, can you imagine?
2023-04-30 22:18:30 <Darth_Michael>	And 30 years of LnC entrancing this fandom.
2023-04-30 22:18:36 <Darth_Michael>	Entrancing us before we even knew that there was a fandom.
2023-04-30 22:18:42 <Darth_Michael>	Actually, before we even knew that there was an Internet to have a fandom in. 
2023-04-30 22:18:48 <Darth_Michael>	Anyone watching Young Sheldon and its glorious throwbacks to the early nineties? 
2023-04-30 22:18:53 <Darth_Michael>	Back then, you had to pen and paper everything unless you were really geeky and nerdy all rolled in one. 
2023-04-30 22:19:05 *	Darth_Michael glances at thick stack of notes
2023-04-30 22:19:11 <Darth_Michael>	Oh, okay, apparently, I’m not here to talk about best *long* story, just about the characters that make those stories go on and on and on.
2023-04-30 22:19:21 *	Darth_Michael glances into audience room
2023-04-30 22:19:25 <Darth_Michael>	Just kidding!
2023-04-30 22:19:27 <Darth_Michael>	I did know why I was up here.
2023-04-30 22:19:31 <Darth_Michael>	I may take just as long as GRRM to get the next story out, but I *am* still a bit younger.
2023-04-30 22:19:34 <Darth_Michael>	And a lot less evil to my lead characters. 
2023-04-30 22:19:38 <Darth_Michael>	No, really!
2023-04-30 22:19:41 <Darth_Michael>	Mine always come back.
2023-04-30 22:19:44 <Darth_Michael>	Alive, I mean. Not pre-deceased.
2023-04-30 22:19:47 *	Darth_Michael ducks thrown Clarkie bear
2023-04-30 22:19:49 <Darth_Michael>	Hey, no attacking the presenter. We’re not at the Oscars!
2023-04-30 22:20:01 <Darth_Michael>	Where was I…
2023-04-30 22:20:05 *	Darth_Michael flips through pages
2023-04-30 22:20:09 <Darth_Michael>	Ah yes. The Best Original or Supporting Character in a Lois and Clark fic.
2023-04-30 22:20:13 <Darth_Michael>	Which means this category is *not* about Clark. 
2023-04-30 22:20:19 *	Darth_Michael glances back into audience
2023-04-30 22:20:23 <Darth_Michael>	Usher, could you please help that irate Clois to the foyer?
2023-04-30 22:20:25 <Darth_Michael>	Thanks.
2023-04-30 22:20:33 <Darth_Michael>	Sorry for the interruption, guys.
2023-04-30 22:20:36 <Darth_Michael>	As I was saying, this category is not about how Clark *and* Lois fare in their stories.
2023-04-30 22:20:41 <Darth_Michael>	Instead, it’s about all the other speaking roles who make up the world where our hero and heroine struggle to find their happiness. 
2023-04-30 22:20:47 *	Darth_Michael pulls out a doggie treat and throws it to the right of the audience chamber where Bakasi is sitting with her guest.
2023-04-30 22:20:51 <Darth_Michael>	Yes, Houdini. You too. 
2023-04-30 22:20:55 *	Darth_Michael gazes over crowd and waves at Selina sitting in the fourth row next to Bruce.
2023-04-30 22:20:59 <Darth_Michael>	What?
2023-04-30 22:20:59 <Darth_Michael>	No, I’m not really a dog person.
2023-04-30 22:20:59 <Darth_Michael>	I know, right?
2023-04-30 22:21:04 <Darth_Michael>	Still, I can apricate an adorably done dog like the next FoLC.
2023-04-30 22:21:07 <Darth_Michael>	And Bakasi did a truly marvelous job.
2023-04-30 22:21:11 <Darth_Michael>	She didn’t even need a Zelig Stone for it.
2023-04-30 22:21:15 <Darth_Michael>	Speaking of dogs, who would have guessed that *Claude* would make the list?
2023-04-30 22:21:18 *	Darth_Michael points back at audience
2023-04-30 22:21:20 <Darth_Michael>	*Lois*, please stop hitting the Frenchman with your purse. You’ve seen what happened to Clois.
2023-04-30 22:21:26 <Darth_Michael>	Sorry, again. Tonight’s audience is much more unruly than it was in the early years. 
2023-04-30 22:21:31 <Darth_Michael>	At least no one’s gone into labor yet, though, right?
2023-04-30 22:21:38 *	Darth_Michael waits for chuckling to die down
2023-04-30 22:21:50 <Darth_Michael>	So, aside from various canines, both cute and stray ones, we also got characters of the feline persuasion this year.
2023-04-30 22:21:57 *	Darth_Michael continues quickly before Cat can discuss with Selina how to best leave permanent markings on presenter’s hide
2023-04-30 22:22:02 <Darth_Michael>	Speaking of cuteness…we also got the next generation of characters represented with Hannah, who doesn’t even have to pretend to be her mother’s favorite accomplishment.
2023-04-30 22:22:08 <Darth_Michael>	Which leads us to Clark’s mom. 
2023-04-30 22:22:11 <Darth_Michael>	Martha is such a Lois and Clark staple, that it’s both a wonder she’s not mentioned more often in this category and at the same time, a sign of just how supportive she was of Lois to make the list.
2023-04-30 22:22:16 *	Darth_Michael takes a breath while checking the notes
2023-04-30 22:22:22 <Darth_Michael>	Ah, yes, and who could forget Lana?
2023-04-30 22:22:26 *	Darth_Michael watches as Clark catches the small tray sailing off from their table towards his high school sweetheart
2023-04-30 22:22:31 *	Darth_Michael clears throat
2023-04-30 22:22:37 <Darth_Michael>	Apparently, certainly not Lois.
2023-04-30 22:22:41 <Darth_Michael>	Good thing we didn’t need Henderson to arrest our intrepid reporter for assault this early into the evening.
2023-04-30 22:22:47 *	Darth_Michael gives an embarrassed smile
2023-04-30 22:22:50 <Darth_Michael>	Whoever thought of actually inviting all those characters to the party would be a good idea, needs to have their good senses checked.
2023-04-30 22:22:53 <Darth_Michael>	Too bad Dr. Deter isn’t here. 
2023-04-30 22:22:56 <Darth_Michael>	Or Tempus.
2023-04-30 22:22:58 <Darth_Michael>	Can you imagine his laughter at the irony of Lois getting hauled out of a Kerth ceremony, kicking and screaming, when she wasn’t even nominated herself?
2023-04-30 22:23:09 <Darth_Michael>	Which brings us to the actual list of nominees:
2023-04-30 22:23:17 <Darth_Michael>	Henderson: Aftershocks by Toomi8
2023-04-30 22:23:17 <Darth_Michael>	Cat Grant: Bad Reputation by Deadly Chakram 
2023-04-30 22:23:17 <Darth_Michael>	Claude and Lex: Federal Disaster by lovetvfan
2023-04-30 22:23:17 <Darth_Michael>	Houdini: Houdini Unleashed by bakasi 
2023-04-30 22:23:17 <Darth_Michael>	Hannah: Playing Pretend by KSaraSara 
2023-04-30 22:23:17 <Darth_Michael>	Martha: So Far Away by KSaraSara
2023-04-30 22:23:17 <Darth_Michael>	Lana Lang: What the Heart Wants by AnnieM and KathyB 
2023-04-30 22:23:28 *	Darth_Michael reaches into breast pocket and pulls out envelope, carefully checking that it’s the right one
2023-04-30 22:23:35 <Darth_Michael>	And the winner is…
2023-04-30 22:23:40 *	Darth_Michael pulls at envelope, getting sheet out
2023-04-30 22:23:49 <Darth_Michael>	Lana Lang: What the Heart Wants by AnnieM and KathyB
2023-04-30 22:23:52 <Darth_Michael>	Congratulations you guys!
2023-04-30 22:24:16 <AnnieM>	Awww, thank you so much, y'all!
2023-04-30 22:24:53 <AnnieM>	I have to say, this Lana is one of my favorite characters I have ever written. I was nervous about how she'd be received by the fandom, since I know she's usually a character we love to hate.
2023-04-30 22:25:08 <AnnieM>	So it means a lot that you gave her a chance and learned to love her as much as we do
2023-04-30 22:26:02 <KathyB>	Yes, thank you, everyone! I give all the credit in the world to Annie, who did the vast majority of the writing, and gave me the wonderful gift of being the peanut gallery :)
2023-04-30 22:26:36 <KathyB>	This was the most fun I've had working on a story since ... well, since the last time Annie and I wrote a story together, LOL!
2023-04-30 22:26:54 <AnnieM>	LOL! I will absolutely second that. Working together is always a joy.
2023-04-30 22:27:43 *	KathyB puts my MC hat back on
2023-04-30 22:28:00 <KathyB>	And now, to present the award for Best Kiss, please welcome AnnaBtG!
2023-04-30 22:28:02 *	KSaraSara has quit (Quit: Leaving)
2023-04-30 22:29:33 <AnnaBtG>	Hello, FoLCs, and good evening. Please give me a moment while my Google docs act up... :P
2023-04-30 22:29:42 *	KSaraSara (~sara@cloak-D8945C1D.hsd1.nm.comcast.net) has joined
2023-04-30 22:29:48 *	Voice_Jockey gives channel operator status to KSaraSara
2023-04-30 22:30:10 <AnnaBtG>	Well, then. Tonight, I’m going to talk to you about a problem most Lois and Clark writers have encountered.
2023-04-30 22:30:37 <AnnaBtG>	https://www.irccloud.com/pastebin/jIwL0IT6
2023-04-30 22:31:04 <AnnaBtG>	Hmm... *taps microphone*
2023-04-30 22:31:12 <AnnaBtG>	This was not planned, I promise.
2023-04-30 22:31:58 <AnnaBtG>	Also, this is not the problem I was referring to.
2023-04-30 22:32:30 <AnnaBtG>	That problem is:
2023-04-30 22:32:35 <AnnaBtG>	Lois and Clark are in love, as you very well know, no matter how hard Lois tries to deny it. And not only are they in love, but they are also super attracted to each other.
2023-04-30 22:33:07 <AnnaBtG>	Which, good for them, but it causes a certain problem for the writer.
2023-04-30 22:33:24 <AnnaBtG>	You see, they want to kiss. A lot.
2023-04-30 22:33:37 <AnnaBtG>	Have you ever tried to write a kiss? It’s damn hard, let me tell you.
2023-04-30 22:33:52 <AnnaBtG>	There are feelings and sensations and positions and body parts to consider.
2023-04-30 22:34:07 <AnnaBtG>	And while Lois and Clark are having fun making out and most of the time not stopping for the world, on the other side of the page there’s a writer wanting to gouge their eyes out with cringe at their own words, or begging them to stop so they can get on with the plot.
2023-04-30 22:34:37 <AnnaBtG>	They persist, though – and how happy are we that they do!
2023-04-30 22:34:49 <AnnaBtG>	Because we get some great stories out of it! 
2023-04-30 22:35:04 <AnnaBtG>	Whether a kiss is the whole point of the fic, or a small part in a longer journey, it definitely spices up a story and gives us some much-desired feels, which is precisely what we’re here for!
2023-04-30 22:35:22 <AnnaBtG>	So here’s the list of the stories with the most memorable kisses of the year!
2023-04-30 22:35:58 <AnnaBtG>	Kiss Me by SuperBek
2023-04-30 22:36:10 <AnnaBtG>	Ficathon: Kiss Me (for Carrie Rene) by lovetvfan
2023-04-30 22:36:21 <AnnaBtG>	This Is Not A Date by KSaraSara
2023-04-30 22:36:35 <AnnaBtG>	What the Heart Wants by AnnieM and KathyB
2023-04-30 22:36:49 <AnnaBtG>	Yours to Discover (for Queen of the Capes) by KSaraSara
2023-04-30 22:37:02 <AnnaBtG>	And the winner is…
2023-04-30 22:37:40 <AnnaBtG>	What the Heart Wants by AnnieM and KathyB!!! Congrats!!
2023-04-30 22:39:25 *	Voice_Jockey removes voice from AnnaBtG
2023-04-30 22:40:14 <AnnieM>	I don't even know what to say, given that I was just in the chat lamenting how hard it is to write kisses and how I'm always sure they are so bad no one will ever believe I've actually experienced a kiss. It just goes to show that these characters have such awesome chemistry, the kisses practically write themselves.
2023-04-30 22:40:24 <AnnieM>	Thank you all so much!
2023-04-30 22:40:53 <KathyB>	Thank you, everyone! As I just said in chat, I was already planning to reread the story this week, and now I have to pay special attention to those kisses. :D
2023-04-30 22:41:39 *	KathyB stops Annie from leaving the stage
2023-04-30 22:42:03 <KathyB>	Because in a perfect transition, up now to present the award for Best Short Story, please welcome back our newest KComm Volunteer Coordinator, the wonderful AnnieM!
2023-04-30 22:42:20 <AnnieM>	Ah yes, Best Short Story...
2023-04-30 22:42:26 <AnnieM>	As an author known for her brevity....
2023-04-30 22:42:35 *	Meadowlark has quit (Quit: https://mibbit.com Online IRC Client)
2023-04-30 22:42:36 <AnnieM>	Wait a minute, that sounds familiar ;)
2023-04-30 22:42:49 <AnnieM>	The short story category is for stories that clock in at 11-50kb. That’s the perfect sweet spot for a story you can sink your teeth into but still read in a single sitting. 
2023-04-30 22:43:02 <AnnieM>	As a reader, these are my favorite stories to return to again and again. The perfect pick-me-up after a long day or the perfect bedtime story after a long night. 
2023-04-30 22:43:17 <AnnieM>	And as a writer, I’m endlessly impressed by authors who can tell a whole story and capture such an impressive depth of emotion in so few words. They are more than just a single scene – they manage to cram all the drama and angst and excitement of a full-length story into just 11-50kb.
2023-04-30 22:43:36 <AnnieM>	This year’s nominees for Best Short Story are:
2023-04-30 22:43:43 <AnnieM>	Drinks After Work by KSaraSara
2023-04-30 22:43:50 <AnnieM>	Footprint Hotel by Blueowl
2023-04-30 22:43:58 <AnnieM>	Pencil It In by SuperBek
2023-04-30 22:44:06 <AnnieM>	Pheromone, My Love by KSaraSara
2023-04-30 22:44:18 <AnnieM>	Rainfall by Morgana
2023-04-30 22:44:22 <AnnieM>	And the winner is....
2023-04-30 22:44:42 <AnnieM>	Pencil It In by SuperBek
2023-04-30 22:44:46 *	Voice_Jockey gives voice to Bek
2023-04-30 22:44:47 <AnnieM>	Congratulations!
2023-04-30 22:45:07 *	Meadowlark (Mibbit@cloak-C85C35F7.mobile.att.net) has joined
2023-04-30 22:45:13 <Bek>	Oh my, goodness! Um, thank you! 
2023-04-30 22:47:08 <Bek>	I don't know what to say! I loved writing this story, even though writing the longer stories is really my favorite :) I'm so glad it was well received! Thank you all so much!
2023-04-30 22:48:08 <KathyB>	Congratulations :)
2023-04-30 22:48:20 <KathyB>	 And now, we have a special treat. In lieu of a Best New Author award, we’ve decided to highlight both authors that graced us with their first stories in 2022. To present the first of those highlights, please welcome our newest Kerth Coordinator, KSaraSara!
2023-04-30 22:48:24 *	Voice_Jockey removes voice from Bek
2023-04-30 22:49:18 *	KSaraSara steps up to the mic... knowing she's going to flub the pasting...
2023-04-30 22:49:27 <KSaraSara>	As a 30-year-old fandom, I think it’s pretty phenomenal that, year after year, we keep gaining new authors! (Okay, so I didn’t fact check that there were new authors EVERY year...but I’m fairly certain.)
2023-04-30 22:49:48 <KSaraSara>	Our first of two authors to celebrate tonight is Jerseygrl! Hailing to us from the Superman & Lois fandom, she debuted as a writer in our L&C fandom last year. 
2023-04-30 22:50:08 <KSaraSara>	To give you a little taste of her writing and entice you to read her fantastic first L&C fic, here’s a spoiler-free excerpt from her story, “The Card”:
2023-04-30 22:50:44 <KSaraSara>	(Summary: At the end of Tempus Fugitive, right before they return to their time and their memories are wiped, Lois writes herself a note on the back of Perry’s birthday card so she won’t forget that Clark is Superman...)
2023-04-30 22:50:44 <KSaraSara>	(Summary: At the end of Tempus Fugitive, right before they return to their time and their memories are wiped, Lois writes herself a note on the back of Perry’s birthday card so she won’t forget that Clark is Superman...)
2023-04-30 22:50:44 <KSaraSara>	(Summary: At the end of Tempus Fugitive, right before they return to their time and their memories are wiped, Lois writes herself a note on the back of Perry’s birthday card so she won’t forget that Clark is Superman...)
2023-04-30 22:50:46 <KSaraSara>	Summary: At the end of Tempus Fugitive, right before they return to their time and their memories are wiped, Lois writes herself a note on the back of Perry’s birthday card so she won’t forget that Clark is Superman...
2023-04-30 22:51:10 <KSaraSara>	***** “For god’s sake, Lois, wouldn’t hurt you to knock,” he said. 
2023-04-30 22:51:10 <KSaraSara>	“No time, chief,” she replied, tossing the present at his desk. He picked it up, contemplating it for a moment. 
2023-04-30 22:51:10 <KSaraSara>	***** “For god’s sake, Lois, wouldn’t hurt you to knock,” he said.
2023-04-30 22:51:18 <KSaraSara>	“No time, chief,” she replied, tossing the present at his desk. He picked it up, contemplating it for a moment.
2023-04-30 22:51:28 <KSaraSara>	“Oh, and here,” she added, dropping the card right beside it. “Happy birthday, or whatever...”
2023-04-30 22:51:49 <KSaraSara>	She saw Clark approaching from behind and she rolled her eyes, noticing Perry finally picking up the card as she started to turn away. He held it up, jamming his finger under the glued flap, and then he started to tear it open—
2023-04-30 22:52:04 <KSaraSara>	And that’s when she saw it. 
2023-04-30 22:52:04 <KSaraSara>	Or she thought she did...
2023-04-30 22:52:04 <KSaraSara>	And that’s when she saw it.
2023-04-30 22:52:10 <KSaraSara>	Or she thought she did...
2023-04-30 22:52:18 <KSaraSara>	But it had to have been her imagination. It had to have said something else...
2023-04-30 22:52:26 <KSaraSara>	She pivoted back around violently, smacking her shoulder into Clark in the process, and then she narrowed her eyes as Perry finally finished opening the envelope.
2023-04-30 22:53:10 <KSaraSara>	“Well, isn’t this lovely,” he said as he pulled the card out. “An empty card! No signature or anything! Well thank you, Lois... I guess...”
2023-04-30 22:53:20 <KSaraSara>	“The present, chief, why don’t you open the present,” Clark said, trying to cover for her neglectful mishap.
2023-04-30 22:53:28 <KSaraSara>	But Lois could barely hear what was going on around her. It was completely insignificant” especially in light of what she had just seen...
2023-04-30 22:53:36 <KSaraSara>	Or thought she had seen.
2023-04-30 22:53:45 <KSaraSara>	“Ah, good idea, Kent,” Perry said. “Now, Lois, I can’t wait to see what you bought this year. Your gifts are always so... thoughtful.”
2023-04-30 22:53:55 <KSaraSara>	She had misread it. Clearly she had misread it. 
2023-04-30 22:53:55 <KSaraSara>	The envelope was now flat on the desk, those pesky, mysterious words hidden from view.
2023-04-30 22:54:02 <KSaraSara>	The words she had imagined, clearly. It was wishful thinking”  *****
2023-04-30 22:54:22 <KSaraSara>	Ack!! She actually saw the envelope! What’s she going to do about it??
2023-04-30 22:54:35 <KSaraSara>	You can check out the full story on the MBs, the archive, or AO3! While Jerseygrl has only given us one L&C story so far, we sure hope she’ll give us more in the time to come! Welcome to the fandom, Jerseygrl, and thank you for sharing your gift of 
2023-04-30 22:54:35 <KSaraSara>	Writing!!
2023-04-30 22:54:51 *	Voice_Jockey gives voice to AnnaBtG
2023-04-30 22:55:09 <KathyB>	Thank you, Sara, and thank you, Jerseygrl, for joining the addictive world of L&C fanfic! 
2023-04-30 22:55:15 <KathyB>	And now, to present the award for Best Challenge Response, we welcome back AnnaBtG.
2023-04-30 22:55:58 <AnnaBtG>	This category, fellas.
2023-04-30 22:56:14 <AnnaBtG>	The first thing I did after I submitted my vote was to go on Discord and complain that this category was *the worst* because I wanted to vote all of the stories!!!
2023-04-30 22:56:47 <AnnaBtG>	Every single one of them is an absolute gem!
2023-04-30 22:57:09 <AnnaBtG>	We have:
2023-04-30 22:57:12 <AnnaBtG>	Ficathon: Beyond Closed Doors (for KSaraSara) by bakasi, in which we get the front seat on Lois’s regret after slamming the door on Clark’s face, and her growing anxiety and worry after she can’t find him at work or at home the next day. A fic full of feels!
2023-04-30 22:57:31 <AnnaBtG>	Ficathon: Evening of Mishaps (for bakasi) by Toomi8, in which we discover that Clark without his powers is a klutz who can’t stop hurting himself! You can’t help but feel for him even as you laugh at his misfortune!
2023-04-30 22:57:51 <AnnaBtG>	Footprint Hotel by Blueowl, in which pre-Superman Clark Kent leaves his literal mark at a small place and helps them in a different way than usual. A lovely exploration of what Superman means to and can do for the world!
2023-04-30 22:58:10 <AnnaBtG>	Ficathon: Kiss Me (for Carrie Rene) by lovetvfan, in which Lois and Clark go to Smallville in pursuit of a human interest story… and an elusive date! A sweet, heartwarming story, with a hearty dose of small town quaintness and nostalgia!
2023-04-30 22:58:31 <AnnaBtG>	Open All Night - 2022 Kerth Challenge #4 by lovetvfan, in which Lois navigates her fear of loss after losing Clark almost forever, and Clark tries to balance out his own fears with his need to love and comfort Lois. A beautiful, emotional post-TOGOM story to the tune of my beloved Bon Jovi!
2023-04-30 22:58:51 <AnnaBtG>	Yours to Discover (for Queen of the Capes) by KSaraSara, in which we explore Canada with Lois and Clark when they travel there for a journalism conference, in a trip that turns out to pack more than Clark had predicted! Fun and lightheartedly
2023-04-30 22:59:05 <AnnaBtG>	suspenseful at the same time!
2023-04-30 22:59:20 <AnnaBtG>	A magnificent collection of stories, and believe me when I tell you, I will be equally happy no matter which one wins, because they’re all favorites!
2023-04-30 22:59:33 <AnnaBtG>	Nevertheless, the winner is…
2023-04-30 23:00:13 <AnnaBtG>	Footprint Hotel by Blueowl!! Congratulations!!!
2023-04-30 23:00:17 *	Voice_Jockey gives voice to Blueowl_
2023-04-30 23:00:30 *	Voice_Jockey removes voice from AnnaBtG
2023-04-30 23:01:11 <Blueowl_>	Thank you! I loved writing this fic, especially since it was very different from what I typically write. I'm so glad everyone enjoyed it. Thank you!
2023-04-30 23:01:46 *	Voice_Jockey gives voice to lovetvfan_sock
2023-04-30 23:01:52 *	Voice_Jockey removes voice from Blueowl_
2023-04-30 23:02:01 <KathyB>	Congratulations :)
2023-04-30 23:02:17 <KathyB>	And now, to present the award for Best Revelation, please welcome our newest KComm Activities Coordinator, Sara aka lovetvfan, who sent us her speech ahead of time to paste for her.
2023-04-30 23:02:52 <lovetvfan_sock>	Best Revelation Story – These are stories that focus on…well, the revelation of a secret.
2023-04-30 23:02:56 <lovetvfan_sock>	A certain secret.
2023-04-30 23:03:02 <lovetvfan_sock>	A specific one actually.
2023-04-30 23:03:05 <lovetvfan_sock>	And I’ll be honest, it’s a pretty big secret.
2023-04-30 23:03:10 <lovetvfan_sock>	Like…I dunno if anyone else knew this, but did you guys know that Clark Kent is actually…a Toronto Maple Leafs fan? 
2023-04-30 23:03:17 <lovetvfan_sock>	I KNOW! I was floored! I mean, of all the hockey teams to root for, he goes and picks a team that hasn’t won a Stanley Cup since 1967!
2023-04-30 23:03:25 <lovetvfan_sock>	I mean he was only a year old for crying out loud! Now I can’t wrap my head around why this revelation garners this much fanfic but I…
2023-04-30 23:03:29 <lovetvfan_sock>	*checks notes* 
2023-04-30 23:03:34 <lovetvfan_sock>	No, wait, sorry my bad. 
2023-04-30 23:03:39 <lovetvfan_sock>	Best Revelation is a category that focuses on the various ways in which Clark Kent reveals to Lois Lane that he is Superman!
2023-04-30 23:03:42 <lovetvfan_sock>	Whoops!
2023-04-30 23:03:46 <lovetvfan_sock>	Sorry about that.
